language_name,lat,lon
Jandai,-27.773,153.399
Gidhabal,-28.501,152.32
Wiyabal,-28.733,153.236
Galibal,-28.533,152.867
Dinggabal,-28.738,152.284
Wahlubal,-28.888,152.508
Wiyabal,-29.308,152.228
Yugambeh,-28.095,152.981
Minyangbal,-28.554,153.498
Geawegal,-32.52,151.212
Duungidjawu,-26.973,152.574
Moondjan,-27.472,153.469
Ngoera,-27.069,152.359
Yuggera,-27.709,152.547
Buyibara,-27.221,152.928
Dalla,-26.775,152.668
Guwar,-27.168,153.4
Djagunda,-26.05,150.835
Wakka Wakka^,-26.451,151.903
Gubbi Gubbi,-26.006,152.668
Warrimay,-32.487,151.997
Butchulla,-25.337,153.033
Yiman,-25.589,149.577
GOORENG GOORENG,-24.905,151.79
Taribelang,-24.807,152.039
Gungabula,-25.6,148.644
Goeng Goeng,-24.267,151.682
Bidjara / Bidyara,-24.903,147.121
Garaynbal,-23.33,149.134
Wadjigu,-24.809,148.573
Birrbay,-31.647,152.134
Gangulu,-24.186,150.151
Tulua,-24.39,150.999
Baiali,-23.644,150.885
Yagalingu,-23.157,146.633
Gayiri,-23.794,147.898
Gabulbarra,-22.869,148.725
DARUMBAL,-22.716,150.06
Wangan,-22.797,147.609
Baradha,-21.982,148.925
Guwinmal,-22.28,149.796
Ngaku,-31.07,152.934
Miyan,-21.813,146.184
Yambina,-22.314,147.475
Yangga,-20.928,147.256
Yilba,-20.767,146.048
Biri^,-20.508,147.989
Wiri,-21.299,148.704
Giya,-20.402,148.463
Ngaro,-20.295,148.935
Ngambaa,-30.815,152.89
Gudjal,-19.708,145.436
Bindal,-19.564,147.111
Yuru,-19.827,147.675
Yetimarala / Yetimarla,-22.894,149.484
Ganulu,-23.655,149.011
Mandalgu,-24.466,149.382
Yugarabul,-27.278,153.025
Gathang^,-31.983,152.416
Ngarbal,-29.528,151.781
Dhanggati / Dunghutti^,-30.906,152.417
Burrgati,-30.422,151.941
Birihn,-29.048,152.859
Casino language,-28.854,152.987
Nyangbal,-28.922,153.422
Mununjali,-28.127,152.915
Nerang Creek,-28.083,153.241
Nganduwal,-28.352,153.304
Ngarahgwal,-27.886,153.328
Gumbaynggirr,-30.088,152.446
Wehlubal,-29.224,152.552
Jarowair,-27.212,151.678
Wapabara,-23.191,150.967
Rakiwara,-23.069,150.781
Karunbara,-23.532,150.1
Gambalamam,-30.378,152.671
Turrbal,-27.507,153.052
Nungali,-15.59,130.857
Dungibara,-27.201,152.552
Garumngar,-27.353,152.695
Wuli Wuli,-25.303,150.636
Baanbay,-30.059,152.111
Nalbo,-26.769,152.886
Marbal,-29.114,151.874
Ngarabal,-29.486,152.683
Guringay,-32.513,151.699
Yunggaya,-29.464,153.216
Warluwarra^,-21.762,138.429
Bularnu,-20.657,138.275
Ayerrerenge,-21.394,137.415
Kalkatungu / Kalkadoon,-20.887,139.89
Indjilandji,-19.327,137.462
Wakabunga,-19.539,139.065
Wunumara,-20.913,141.853
Mayi-Thakurti / Mitakoodi,-19.947,140.69
Ngawun,-19.803,141.963
Nguburinji,-18.534,139.036
Wangkamanha / Wankamadla,-24.331,137.424
Mayi-Yapi,-19.076,140.447
Mbara,-19.85,143.395
Waanyi,-18.313,137.621
Mayi-Kutuna,-19.121,139.896
Mayi-Kulan,-18.78,141.812
Mingginda,-18.023,139.553
Kukatj,-18.132,140.365
Gundara,-16.052,141.816
Gkuthaarn,-17.369,141.115
Kurtjar,-16.747,141.418
Yukulta / Ganggalidda,-17.341,138.751
Kayardild,-17.031,139.489
Walangama,-17.886,141.935
Yangkaal,-16.905,138.981
Lardil,-16.564,139.459
Kunkalanya,-23.638,139.288
Ngulupulu,-24.056,139.818
Parnkarra,-21.26,138.81
Dhidhani,-20.477,138.262
Kapula,-22.133,138.596
Mayi-Yali,-18.942,139.748
Marrago,-18.271,140.167
Jangrala,-17.851,138.683
Rakaya,-23.424,140.137
Wangka-Yutjurru^,-22.882,138.566
Pitta Pitta,-22.628,139.725
Ringu Ringu,-22.879,140.265
Yalarnnga,-21.822,139.713
Guwa,-22.037,142.319
Yanda,-22.085,140.739
Warrwa,-17.276,124.014
Walki,-17.846,127.063
Jaru,-18.517,128.228
Nyulnyul,-17.028,122.706
Unggumi,-17.089,124.869
Bardi,-16.668,122.902
Jawi,-16.442,123.268
Worrorra,-15.621,124.876
Ngarinyin,-16.004,126.005
Guwij,-15.289,127.05
Yawuru,-17.944,122.625
Gija / Kija,-17.424,127.391
Wanyjirra,-18.106,129.706
Wunambal,-14.879,125.464
Andedja,-17.349,126.128
Munumburu,-15.278,127.528
Wolyamidi,-15.637,127.364
Miriwoong / Miriuwung,-15.886,128.868
Jugun,-17.787,122.445
Malngin,-17.235,129.354
Yiiji,-15.139,127.989
Kuluwarrang,-16.377,127.978
Jiyil,-17.217,130.539
Wilawila,-15.078,127.023
Gunin,-14.627,127.667
Gajirrabeng,-15.293,129.275
Gaambera,-14.218,126.342
Nyikina,-18.259,124.061
Worla,-16.428,127.219
Miwa,-14.127,127.042
Ngalarrunga,-15.901,133.197
Julbayi,-18.197,122.536
Umida,-16.323,123.86
Ngumbarl,-17.515,122.492
Doolboong,-15.036,128.457
Wawarl,-18.27,127.85
Ngarnawu,-16.188,127.289
Yawijibaya,-16.031,124.149
Marangan,-17.97,122.997
Unggarrangu,-16.694,123.671
Winjarumi,-15.302,124.259
Bunuba,-17.725,125.605
Bayimbarr,-15.633,127.974
Giwajbem,-16.31,128.251
Gooniyandi,-18.591,126.179
Nyininy,-18.069,128.586
Jabirr Jabirr,-17.232,122.527
Nimanburru,-17.265,123.134
Adnyamathanha,-30.35,138.883
Pirlatapa,-29.839,140.1
Wadigali,-29.261,141.21
ARABANA,-28.417,136.084
Dhirari,-28.598,137.775
Karenggapa,-29.176,142.669
Gungadidji,-26.352,142.025
Dieri,-28.228,139.058
Yandruwandha^,-28.326,140.392
Dhiraila,-28.014,142.239
Narungga/Nharangga,-34.482,137.591
Mambangurra,-28.602,141.763
Ngamini,-26.944,138.961
Yawarrawarrka,-26.534,140.439
Wangkumara,-27.57,141.885
Punthamara,-27.343,143.502
Wangkangurru,-25.886,137.182
Karangura,-25.975,138.734
Kunandaburi,-26.635,142.594
Nauo / Nawu,-33.704,135.44
Ngandangara,-26.823,143.239
Yarluyandi,-25.904,139.499
Karanya,-24.386,139.867
Marula,-25.356,141.624
Mithaka,-25.273,139.738
Karuwali,-24.96,141.031
Pirriya,-25.492,142.49
Kungkari,-24.538,144.275
Wadjabangai,-24.106,145.811
Kaurna,-34.427,138.408
Maiawali,-23.419,141.588
Iningai,-23.086,144.875
Yirandali,-21.157,144.283
Bidjara,-28.386,143.006
Yandjibara,-24.656,145.611
Parlpamardramardra,-27.513,141.244
Nhirrpi,-26.955,140.84
Matja,-27.323,139.963
Ngananhina,-26.339,140.96
Marunuda,-24.938,139.502
Nukunu,-32.818,138.069
Midlaliri,-29.187,135.384
Mikiri-nganha,-25.73,137.144
Wangkakupa,-28.914,136.16
Piltapalta,-27.722,136.026
Wangkatyaka,-27.495,137.585
Wailpi,-30.948,138.583
Yarrumada,-25.974,143.849
Minkabari,-28.873,142.602
Ngadjuri,-32.93,139.081
Malintji,-23.534,142.953
Ngurunta,-30.733,140.483
Parlpakurnu,-26.257,143.04
Barngarla,-32.688,136.81
Yadliawara,-31.098,139.804
Malyangapa,-30.556,141.567
Kuyani,-29.999,137.942
Marri Ngarr,-14.211,129.851
Ritharrngu,-12.976,135.397
Kuwema,-12.857,130.425
Marra,-15.041,135.412
Dhuwaya,-12.266,136.87
Dhay'yi,-13.374,135.762
Pungupungu,-13.377,130.447
Warndarrang,-15.043,135.345
Ngarnka,-16.452,134.826
Wubuy,-13.87,135.589
Matngala,-13.789,130.434
Binbinka,-16.361,136.046
Maranunggu,-13.759,130.272
Walu,-15.721,137.028
Kungarakany,-13.233,130.825
Anindilyakwa,-13.931,136.585
Yanyuwa,-15.802,136.808
Garrwa^,-16.857,137.274
NGAN'GI,-14.228,130.364
Murrinh-kura,-14.716,129.946
Murrinhdiminin,-14.405,129.817
Emmi,-13.517,130.116
Ngan'gimerri,-14.005,130.612
Marri Tjevin,-13.893,129.849
Marri Amu,-13.812,129.81
Magati Ke,-14.088,129.715
Mariyedi,-13.721,130.051
Kerniyn'mi,-13.654,133.585
Maramanindji,-13.971,130.418
Kundedjnjenghmi,-12.679,133.429
Macquarie Harbour Tasmanian,-42.476,145.337
Kuninjku,-12.268,134.041
Galduyh,-13.566,134.389
Letpurrirt,-14.155,132.254
Urrirrk,-11.918,132.649
Ngarlahmi,-14.088,132.36
Ngorrkgowo,-13.452,131.678
Ngardawuli,-11.29,131.932
Ngen'giwumirri,-14.246,130.461
Ben Lomond,-41.516,147.802
Wurdang,-11.287,131.924
Gidjurra,-12.133,132.937
Manangkarri,-11.555,133.173
Ilgar,-11.071,132.907
Burdinmanduwij,-11.31,131.929
BININJ KUNWOK,-12.578,133.557
Garig,-11.246,132.418
Mukngirru,-12.928,130.537
Jaminjung,-15.154,130.39
Gun-narda,-12.128,134.662
Gun-narta,-12.107,134.488
Dhangu,-12.427,136.607
Dhuwal,-12.712,136.01
Dhuwala,-12.654,135.958
Ngaliwurru,-16.073,130.542
Gumadir,-12.481,133.564
Djangu,-12.147,136.421
Tiwi,-11.563,130.76
Nhangu,-11.853,135.702
MARRANJ,-13.653,130.074
Larrakia,-12.518,130.841
GIIMBIYU,-12.481,133.056
Muralidban,-12.241,134.182
Wandangbag,-12.313,132.978
Gonbudj,-12.453,132.156
Kiyuk,-13.168,130.054
Malak Malak,-13.549,130.552
Warray,-13.163,131.254
Yunggor,-13.597,130.413
Wagiman,-14.012,131.169
Wuna,-12.475,131.373
Batjamalh,-13.209,130.274
Wulwulam,-13.642,132.055
Kamu,-13.613,130.778
Wardaman,-15.357,131.527
Bilinarra,-16.967,130.745
Uwinymil,-13.312,131.775
Wurrugu,-11.361,132.093
Dagoman,-14.441,131.878
Iwaidja,-11.613,132.696
Murrinh-Patha,-14.747,130.003
Ngombur,-12.794,132.13
Ngaduk,-12.212,132.596
Bugurnidja,-12.766,132.702
Limilngan,-12.526,131.724
Mbukarla,-12.983,132.367
Mayali,-14.08,132.454
Marrku,-11.158,132.56
Amurdak,-11.95,132.874
Gaagudju,-12.434,132.672
Wada,-12.47,132.564
Mengerrdji,-12.351,133.024
Erre,-12.426,133.065
Jawoyn,-13.897,133.038
Dalabon,-13.316,134.029
Mawng,-11.814,133.364
Kunwinjku,-12.174,133.483
Urningangk,-12.546,133.056
Yangman,-15.414,132.499
Kunbarlang,-11.932,133.894
Menthe,-13.638,129.921
Kune,-12.398,134.387
Kundjeyhmi,-12.926,132.875
Yan-nhangu,-12.008,135.236
Rembarrnga,-13.231,134.454
Ndjébbana,-12.156,134.274
Gurr-goni,-12.228,134.287
Ngalakgan,-14.284,134.271
Mangarrayi,-14.891,133.619
Marrithiyel^,-13.835,130.013
Nakkara,-12.084,134.364
Gun-nartpa,-12.219,134.55
Burarra,-12.162,134.581
Yugul,-14.746,134.831
Ngan'gikurunggurr,-14.186,130.104
Ngandi,-14.009,134.906
Alawa,-15.524,134.48
Djinang,-12.338,134.863
Djinba^,-12.762,135.005
